iter	Passed	Remaining
878	9999	1376
879	10011	1365
880	10024	1354
881	10035	1342
882	10048	1331
883	10057	1319
884	10067	1308
885	10077	1296
886	10088	1285
887	10096	1273
888	10108	1262
889	10118	1250
890	10129	1239
891	10141	1227
892	10156	1216
893	10166	1205
894	10177	1193
895	10188	1182
896	10199	1171
897	10210	1159
898	10223	1148
899	10232	1136
900	10241	1125
901	10252	1113
902	10261	1102
903	10269	1090
904	10280	1079
905	10291	1067
906	10305	1056
907	10312	1044
908	10322	1033
909	10334	1022
910	10344	1010
911	10352	998
912	10361	987
913	10370	975
914	10380	964
915	10390	952
916	10398	941
917	10408	929
918	10417	918
919	10428	906
920	10438	895
921	10446	883
922	10455	872
923	10465	860
924	10474	849
925	10483	837
926	10491	826
927	10501	814
928	10512	803
929	10521	791
930	10530	780
931	10538	768
932	10548	757
933	10561	746
934	10570	734
935	10581	723
936	10591	712
937	10602	700
938	10611	689
939	10623	678
940	10634	666
941	10648	655
942	10660	644
943	10672	633
944	10683	621
945	10691	610
946	10702	598
947	10710	587
948	10721	576
949	10732	564
950	10744	553
951	10752	542
952	10762	530
953	10770	519
954	10779	507
955	10788	496
956	10797	485
957	10807	473
958	10816	462
959	10827	451
960	10840	439
961	10847	428
962	10856	417
963	10869	405
964	10882	394
965	10891	383
966	10901	372
967	10910	360
968	10925	349
969	10939	338
970	10949	327
971	10957	315
972	10968	304
973	10976	293
974	10987	281
975	10995	270
976	11004	259
977	11013	247
978	11023	236
979	11032	225
980	11042	213
981	11053	202
982	11064	191
983	11076	180
984	11089	168
985	11106	157
986	11120	146
987	11130	135
988	11139	123
989	11150	112
990	11160	101
991	11170	90
992	11183	78
993	11193	67
994	11204	56
995	11214	45
996	11225	33
997	11233	22
998	11243	11
999	11254	0
